match_id,season,round_number,total_score,temperature,match_title,home_away,behinds,goals,ratio,score,scorediff,team
CD_M20182640303,2018,3,83,18,Collingwood vs GWS Giants,away,6,7,1.16666666666667,48,13,GWS Giants
CD_M20182640303,2018,3,83,18,Collingwood vs GWS Giants,home,5,5,1,35,-13,Collingwood
CD_M20182640304,2018,3,67,18,Fremantle vs Melbourne,away,7,4,0.571428571428571,31,-5,Melbourne
CD_M20182640304,2018,3,67,18,Fremantle vs Melbourne,home,0,6,Inf,36,5,Fremantle
CD_M20182640401,2018,4,99,18,Western Bulldogs vs Carlton,away,1,2,2,13,-73,Carlton
CD_M20182640401,2018,4,99,18,Western Bulldogs vs Carlton,home,14,12,0.857142857142857,86,73,Western Bulldogs
CD_M20182640402,2018,4,37,18,Brisbane Lions vs Fremantle,away,3,2,0.666666666666667,15,-7,Fremantle
CD_M20182640402,2018,4,37,18,Brisbane Lions vs Fremantle,home,4,3,0.75,22,7,Brisbane Lions
CD_M20182640403,2018,4,82,18,Melbourne vs Collingwood,away,4,9,2.25,58,34,Collingwood
CD_M20182640403,2018,4,82,18,Melbourne vs Collingwood,home,6,3,0.5,24,-34,Melbourne
CD_M20182640404,2018,4,38,18,GWS Giants vs Adelaide Crows,away,7,2,0.285714285714286,19,0,Adelaide Crows
CD_M20182640404,2018,4,38,18,GWS Giants vs Adelaide Crows,home,7,2,0.285714285714286,19,0,GWS Giants
